6	1
8	1
16	1
18	1
22	1
38	1
39	1
40	1
42	1
47	1
52	1
54	1
55	1
57	1
58	1
61	1
62	1
74	1
85	1
87	1
95	1
107	1
114	1
115	1
120	1
121	1
127	1
134	1
136	1
137	1
138	1
146	1
147	1
162	1
169	1
173	1
174	1
184	1
186	1
190	1
193	1
198	1
207	1
211	1
215	1
217	1
223	1
224	1
225	1
228	1
229	1
239	1
244	1
250	1
251	1
261	1
267	1
290	1
296	1
299	1
301	1
307	1
311	1
314	1
318	1
319	1
320	1
327	1
328	1
340	1
344	1
360	1
363	1
373	1
377	1
381	1
382	1
384	1
385	1
388	1
394	1
395	1
396	1
397	1
403	1
411	1
413	1
417	1
421	1
432	1
442	1
453	1
457	1
461	1
464	1
471	1
478	1
480	1
482	1
484	1
492	1
496	1
1	2
2	2
3	2
4	2
5	2
7	2
9	2
10	2
11	2
12	2
13	2
14	2
15	2
17	2
19	2
20	2
21	2
23	2
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	2
41	2
43	2
44	2
45	2
46	2
48	2
49	2
50	2
51	2
53	2
56	2
59	2
60	2
63	2
64	2
65	2
66	2
67	2
68	2
69	2
70	2
71	2
72	2
73	2
75	2
76	2
77	2
78	2
79	2
80	2
81	2
82	2
83	2
84	2
86	2
88	2
89	2
90	2
91	2
92	2
93	2
94	2
96	2
97	2
98	2
99	2
100	2
101	2
102	2
103	2
104	2
105	2
106	2
108	2
109	2
110	2
111	2
112	2
113	2
116	2
117	2
118	2
119	2
122	2
123	2
124	2
125	2
126	2
128	2
129	2
130	2
131	2
132	2
133	2
135	2
139	2
140	2
141	2
142	2
143	2
144	2
145	2
148	2
149	2
150	2
151	2
152	2
153	2
154	2
155	2
156	2
157	2
158	2
159	2
160	2
161	2
163	2
164	2
165	2
166	2
167	2
168	2
170	2
171	2
172	2
175	2
176	2
177	2
178	2
179	2
180	2
181	2
182	2
183	2
185	2
187	2
188	2
189	2
191	2
192	2
194	2
195	2
196	2
197	2
199	2
200	2
201	2
202	2
203	2
204	2
205	2
206	2
208	2
209	2
210	2
212	2
213	2
214	2
216	2
218	2
219	2
220	2
221	2
222	2
226	2
227	2
230	2
231	2
232	2
233	2
234	2
235	2
236	2
237	2
238	2
240	2
241	2
242	2
243	2
245	2
246	2
247	2
248	2
249	2
252	2
253	2
254	2
255	2
256	2
257	2
258	2
259	2
260	2
262	2
263	2
264	2
265	2
266	2
268	2
269	2
270	2
271	2
272	2
273	2
274	2
275	2
276	2
277	2
278	2
279	2
280	2
281	2
282	2
283	2
284	2
285	2
286	2
287	2
288	2
289	2
291	2
292	2
293	2
294	2
295	2
297	2
298	2
300	2
302	2
303	2
304	2
305	2
306	2
308	2
309	2
310	2
312	2
313	2
315	2
316	2
317	2
321	2
322	2
323	2
324	2
325	2
326	2
329	2
330	2
331	2
332	2
333	2
334	2
335	2
336	2
337	2
338	2
339	2
341	2
342	2
343	2
345	2
346	2
347	2
348	2
349	2
350	2
351	2
352	2
353	2
354	2
355	2
356	2
357	2
358	2
359	2
361	2
362	2
364	2
365	2
366	2
367	2
368	2
369	2
370	2
371	2
372	2
374	2
375	2
376	2
378	2
379	2
380	2
383	2
386	2
387	2
389	2
390	2
391	2
392	2
393	2
398	2
399	2
400	2
401	2
402	2
404	2
405	2
406	2
407	2
408	2
409	2
410	2
412	2
414	2
415	2
416	2
418	2
419	2
420	2
422	2
423	2
424	2
425	2
426	2
427	2
428	2
429	2
430	2
431	2
433	2
434	2
435	2
436	2
437	2
438	2
439	2
440	2
441	2
443	2
444	2
445	2
446	2
447	2
448	2
449	2
450	2
451	2
452	2
454	2
455	2
456	2
458	2
459	2
460	2
462	2
463	2
465	2
466	2
467	2
468	2
469	2
470	2
472	2
473	2
474	2
475	2
476	2
477	2
479	2
481	2
483	2
485	2
486	2
487	2
488	2
489	2
490	2
491	2
493	2
494	2
495	2
497	2
498	2
499	2
500	2
